id_zmienna;zmienna;id_przekroj;nazwa_przekroj;id_jednostka_terytorialna;jednostka_terytorialna;id_typ_informacji;typ_informacji;id_wymiar_2;nazwa_wymiar_2;id_pozycja_2;nazwa_pozycja_2;id_wymiar_3;nazwa_wymiar_3;id_pozycja_3;nazwa_pozycja_3;id_wymiar_4;nazwa_wymiar_4;id_pozycja_4;nazwa_pozycja_4;id_wymiar_5;nazwa_wymiar_5;id_pozycja_5;nazwa_pozycja_5;id_wymiar_6;nazwa_wymiar_6;id_pozycja_6;nazwa_pozycja_6;id_wymiar_7;nazwa_wymiar_7;id_pozycja_7;nazwa_pozycja_7;id_wymiar_8;nazwa_wymiar_8;id_pozycja_8;nazwa_pozycja_8;id_wymiar_9;nazwa_wymiar_9;id_pozycja_9;nazwa_pozycja_9;id_okres;id_daty;opis_okres;wartosc;oznaczenie_braku_wartosci;nazwa_braku_wartosci;oznaczenie_tajnosci;nazwa_tajnosci;oznaczenie_flagi;nazwa_flaga;notka
398;Average monthly gross wages and salaries in national economy;234;"Poland, voivodeships; NACE Rev. 2 sections, of which industry";33617;POLAND;243;[zl];173;NACE Rev. 2 sections, of which industry;6661763;GR119340 - TOTAL;;;;;;;;;;;;;;;;;;;;;;;;;;;;;282;2014;2014 ;3777,1;ND;Not applicable;nd;Uncovered data;nd;Not applicable;
398;Average monthly gross wages and salaries in national economy;234;"Poland, voivodeships; NACE Rev. 2 sections, of which industry";33617;POLAND;243;[zl];173;NACE Rev. 2 sections, of which industry;6661763;GR119340 - TOTAL;;;;;;;;;;;;;;;;;;;;;;;;;;;;;282;2015;2015 ;3907,85;ND;Not applicable;nd;Uncovered data;nd;Not applicable;
398;Average monthly gross wages and salaries in national economy;234;"Poland, voivodeships; NACE Rev. 2 sections, of which industry";33617;POLAND;243;[zl];173;NACE Rev. 2 sections, of which industry;6661763;GR119340 - TOTAL;;;;;;;;;;;;;;;;;;;;;;;;;;;;;282;2016;2016 ;4052,19;ND;Not applicable;nd;Uncovered data;nd;Not applicable;
398;Average monthly gross wages and salaries in national economy;234;"Poland, voivodeships; NACE Rev. 2 sections, of which industry";33617;POLAND;243;[zl];173;NACE Rev. 2 sections, of which industry;6661763;GR119340 - TOTAL;;;;;;;;;;;;;;;;;;;;;;;;;;;;;282;2017;2017 ;4283,73;ND;Not applicable;nd;Uncovered data;nd;Not applicable;
398;Average monthly gross wages and salaries in national economy;234;"Poland, voivodeships; NACE Rev. 2 sections, of which industry";33617;POLAND;243;[zl];173;NACE Rev. 2 sections, of which industry;6661763;GR119340 - TOTAL;;;;;;;;;;;;;;;;;;;;;;;;;;;;;282;2018;2018 ;4589,91;ND;Not applicable;nd;Uncovered data;nd;Not applicable;
398;Average monthly gross wages and salaries in national economy;234;"Poland, voivodeships; NACE Rev. 2 sections, of which industry";33617;POLAND;243;[zl];173;NACE Rev. 2 sections, of which industry;6661763;GR119340 - TOTAL;;;;;;;;;;;;;;;;;;;;;;;;;;;;;282;2019;2019 ;4920,09;ND;Not applicable;nd;Uncovered data;nd;Not applicable;
398;Average monthly gross wages and salaries in national economy;234;"Poland, voivodeships; NACE Rev. 2 sections, of which industry";33617;POLAND;243;[zl];173;NACE Rev. 2 sections, of which industry;6661763;GR119340 - TOTAL;;;;;;;;;;;;;;;;;;;;;;;;;;;;;282;2020;2020 ;5226;ND;Not applicable;nd;Uncovered data;nd;Not applicable;
398;Average monthly gross wages and salaries in national economy;234;"Poland, voivodeships; NACE Rev. 2 sections, of which industry";33617;POLAND;243;[zl];173;NACE Rev. 2 sections, of which industry;6661763;GR119340 - TOTAL;;;;;;;;;;;;;;;;;;;;;;;;;;;;;282;2021;2021 ;5682,97;ND;Not applicable;nd;Uncovered data;nd;Not applicable;
398;Average monthly gross wages and salaries in national economy;234;"Poland, voivodeships; NACE Rev. 2 sections, of which industry";33617;POLAND;243;[zl];173;NACE Rev. 2 sections, of which industry;6661763;GR119340 - TOTAL;;;;;;;;;;;;;;;;;;;;;;;;;;;;;282;2022;2022 ;6362,9;ND;Not applicable;nd;Uncovered data;nd;Not applicable;
398;Average monthly gross wages and salaries in national economy;234;"Poland, voivodeships; NACE Rev. 2 sections, of which industry";33617;POLAND;243;[zl];173;NACE Rev. 2 sections, of which industry;6661763;GR119340 - TOTAL;;;;;;;;;;;;;;;;;;;;;;;;;;;;;282;2023;2023 ;7199,22;ND;Not applicable;nd;Uncovered data;nd;Not applicable;
398;Average monthly gross wages and salaries in national economy;234;"Poland, voivodeships; NACE Rev. 2 sections, of which industry";33617;POLAND;243;[zl];173;NACE Rev. 2 sections, of which industry;6661763;GR119340 - TOTAL;;;;;;;;;;;;;;;;;;;;;;;;;;;;;282;2024;2024 ;8157,57;ND;Not applicable;nd;Uncovered data;nd;Not applicable;
